ilkid,firstname,lastname,leag,Season_Effic,Season_FG_rate,Season_FT_rate,Season_PTS_rate,Playoffs_Effic,Playoffs_FG_rate,Playoffs_FT_rate,Playoffs_PTS_rate
ABDELAL01,Alaa,Abdelnaby,N,6.16015625,0.5016181229773463,0.7009345794392523,0.4578125,1.588235294117647,0.45,0.5,0.3584905660377358
ABDULKA01,Kareem,Abdul-jabbar,N,27.676923076923078,0.5594729218921115,0.7214101461736887,0.668227552832225,22.89873417721519,0.532790592492085,0.7399577167019028,0.650999887018416
ABDULMA01,Mahmo,Abdul-rauf,N,11.518771331058021,0.44240211506987287,0.905254091300603,0.5471118787180963,7.933333333333334,0.3689839572192513,0.9555555555555556,0.46987951807228917
ABDULTA01,Tariq,Abdul-wahad,N,7.059322033898305,0.4171494785631518,0.7032136105860114,0.38061564059900166,6.230769230769231,0.38095238095238093,0.8333333333333334,0.38202247191011235
ABERNTO01,Tom,Abernethy,N,7.617554858934169,0.49184782608695654,0.7471783295711061,0.32738314317261685,4.153846153846154,0.4074074074074074,0.8275862068965517,0.3008849557522124
ACRESMA01,Mark,Acres,N,6.392,0.5059055118110236,0.6652267818574514,0.2245068538950184,2.6315789473684212,0.5185185185185185,0.5,0.23125
ADAMSAL01,Alvan,Adams,N,18.559716599190285,0.4979937194696441,0.7879746835443038,0.5113406609565121,14.653846153846153,0.4731182795698925,0.765625,0.47027972027972026
ADAMSDO01,Don,Adams,N,8.173996175908222,0.4019845644983462,0.7408560311284047,0.34124981445747365,3.8636363636363638,0.38181818181818183,0.6818181818181818,0.2756183745583039
ADAMSGE01,George,Adams,A,7.962790697674419,0.49722222222222223,0.7941176470588235,0.42326415577760695,6.555555555555555,0.5151515151515151,0.75,0.43478260869565216
ADAMSMI01,Michael,Adams,N,16.078101071975496,0.4149573194037457,0.8486040110106173,0.4705565880856891,13.1,0.3695652173913043,0.85,0.37702503681885124
ADDISRA01,Rafael,Addison,N,5.382585751978892,0.449438202247191,0.7715877437325905,0.38371072494295244,2.5,0.32142857142857145,1.0,0.3548387096774194
ADELMRI01,Rick,Adelman,N,6.896103896103896,0.4147147147147147,0.712914485165794,0.343243502445574,4.095238095238095,0.4479166666666667,0.625,0.3677811550151976
AGUIRMA01,Mark,Aguirre,N,16.944745395449623,0.484426505213589,0.7411003236245954,0.6656328885683376,15.666666666666666,0.48501742160278744,0.7434052757793765,0.5906017579445572
AINGEDA01,Danny,Ainge,N,12.53742802303263,0.46875315497223624,0.8464646464646465,0.4310574671230409,10.466321243523316,0.4563971992361553,0.8291316526610645,0.3775307661770544
AITCHMA01,Matt,Aitch,A,1.3555555555555556,0.4048582995951417,0.6753246753246753,0.3956043956043956,1.0,0.5,0.0,1.0
AKINHE01,Henry,Akin,N,0.9651162790697675,0.35149863760217986,0.6764705882352942,0.42696629213483145,-2.0,0.14285714285714285,0.5,0.1875
ALARIMA01,Mark,Alarie,N,8.018461538461539,0.4748168498168498,0.7751196172248804,0.4421818181818182,5.75,0.5882352941176471,1.0,0.5111111111111111
ALEXACO01,Cory,Alexander,N,5.960655737704918,0.38925729442970824,0.7556818181818182,0.34634448574969023,2.6666666666666665,0.4166666666666667,0.7142857142857143,0.37142857142857144
ALEXACO02,Courtney,Alexander,N,6.828877005347594,0.4220360824742268,0.8129496402877698,0.41533546325878595,2.8,0.4375,0.75,0.46153846153846156
ALEXAVI01,Victor,Alexander,N,10.157342657342657,0.5178739416745061,0.6326129666011788,0.4416261292564281,2.4,0.5,1.0,0.25925925925925924
ALFORST01,Steve,Alford,N,4.189349112426036,0.4589905362776025,0.8698630136986302,0.453382084095064,3.6153846153846154,0.4166666666666667,0.8888888888888888,0.5094339622641509
